10, 24, 1237, 0.00000000, 0.00000000, 32, 0.00040404, 0.00000024, 100, 
10, 24, 1237, 0.00000000, 0.00000000, 32, 0.00040404, 0.00240072, 100, 
10, 249, 12487, 0.00000000, 0.00000000, 32, 0.00004004, 0.00002358, 1000, 
10, 249, 12487, 0.00000000, 0.00000000, 32, 0.00004004, 0.00002358, 1000, 
10, 249, 12487, 0.00000000, 0.00000000, 32, 0.00004004, 0.00002358, 1000, 
30, 249, 12487, 0.00000000, 0.00000000, 32, 0.00004004, 0.00002358, 1000, 
30, 249, 499, 0.00000000, 0.00000000, 32, 0.00004004, 0.00002358, 1000, 
30, 24, 49, 0.00000000, 0.00000000, 32, 0.00040404, 0.00240072, 100, 
30, 499, 499, 0.00000000, 0.00000000, 32, 0.00004004, 0.00002358, 1000, 
30, 499, 499, 0.00000000, 0.00000000, 32, 0.00004004, 0.00002358, 1000, 
10, 249, 499, 0.46750000, 0.01764029, 800, 0.00004004, 0.00000000, 1000, 
10, 24, 49, 0.43500000, 0.00554273, 8000, 0.00040404, 0.00000003, 100, 
60, 24, 49, 0.43700000, 0.00554562, 8000, 0.00040404, 0.00000003, 100, 
60, 124, 249, 0.44187500, 0.00555227, 8000, 0.00008016, 0.00000000, 500, 
30, 124, 249, 0.44387500, 0.00555484, 8000, 0.00008016, 0.00000000, 500, 
10, 124, 249, 0.44400000, 0.00555500, 8000, 0.00008016, 0.00000000, 500, 
10, 249, 249, 0.49125000, 0.00558931, 8000, 0.00008016, 0.00000001, 500, 
10, 49, 49, 0.48673750, 0.00176714, 80000, 0.00040404, 0.00000024, 100, 
10, 49, 49, 0.49095000, 0.00079044, 400000, 0.00040404, 0.00000024, 100, 
10, 49, 49, 0.49305500, 0.00079049, 400000, 0.00040404, 0.00000024, 100, 
10, 49, 49, 0.49055000, 0.00079043, 400000, 0.00040404, 0.00000024, 100, 
10, 499, 499, 0.46750000, 0.01764029, 800, 0.00004004, 0.00000000, 1000, 
10, 499, 499, 0.54000000, 0.01762101, 800, 0.00004004, 0.00000000, 1000, 
10, 499, 499, 0.78000000, 0.01464582, 800, 0.00004004, 0.00000000, 1000, 
10, 249, 499, 0.46000000, 0.01762101, 800, 0.00004004, 0.00000318, 1000, 
10, 49, 99, 0.37925000, 0.00542471, 8000, 0.00020101, 0.00007961, 200, 
10, 99, 199, 0.41775000, 0.00551402, 8000, 0.00010025, 0.00001990, 400, 
10, 199, 399, 0.41762500, 0.00551378, 8000, 0.00005006, 0.00000498, 800, 
60, 99, 199, 0.46025000, 0.00394034, 16000, 0.00010025, 0.00001990, 400, 
1, 99, 99, 0.10712500, 0.00244501, 16000, 0.00020101, 0.00007961, 200, 
5, 99, 99, 0.53831250, 0.00394123, 16000, 0.00020101, 0.00007961, 200, 
10, 99, 99, 0.67962500, 0.00368896, 16000, 0.00020101, 0.00007961, 200, 
30, 99, 99, 0.73081250, 0.00350647, 16000, 0.00020101, 0.00007961, 200, 
30, 99, 99, 0.56912500, 0.00391489, 16000, 0.00020101, 0.00026590, 200, 
30, 99, 99, 0.45581250, 0.00393738, 16000, 0.00020101, 0.00059416, 200, 
30, 49, 99, 0.43487500, 0.00391917, 16000, 0.00020101, 0.00007961, 200, 
30, 49, 99, 0.43468750, 0.00391898, 16000, 0.00020101, 0.00007961, 200, 
60, 49, 99, 0.43600000, 0.00392033, 16000, 0.00020101, 0.00007961, 200, 
10, 99, 99, 0.68018750, 0.00368725, 16000, 0.00020101, 0.00007961, 200, 
30, 99, 99, 0.72756250, 0.00351972, 16000, 0.00020101, 0.00007961, 200, 
30, 99, 99, 0.72718750, 0.00352124, 16000, 0.00020101, 0.00007961, 200, 
