t_max, start_i, start_j, average_temperature, sqrt(variance), n_walkers*n_loops, hmin, d_t_0 ,nx
3600000, 119, 17, 21.43750000, 0.16931330, 800, 0.04016064, 8.27761251, 250, 
3600000, 239, 35, 68.67132461, 1.64660439, 800, 0.02004008, 2.06111724, 500, 
3600000, 478, 70, 102.51662255, 2.75318117, 800, 0.01001001, 0.51424824, 1000, 
3600000, 957, 140, 90.41366198, 2.47647287, 800, 0.00500250, 0.12843346, 2000, 
3600000, 1916, 280, 96.26921830, 2.52688049, 800, 0.00250063, 0.03209231, 4000, 
3600000, 3833, 561, 99.38590054, 2.69295155, 800, 0.00125016, 0.00802107, 8000, 
3600000, 3833, 561, 106.18771523, 2.90492270, 800, 0.00125016, 0.00802107, 8000, 
