t_max, start_i, start_j, average_temperature, sqrt(variance), n_walkers*n_loops, hmin, d_t_0 ,nx
10000000, 199, 199, 0.27048475, 0.00228510, 8000, 0.00100100, 0.00000025, 1000, 
10000000, 899, 99, 0.06570763, 0.00157724, 8000, 0.00100100, 0.00000025, 1000, 
36000000, 239, 46, 22.99103000, 0.14557957, 800, 0.02004008, 1.03055862, 500, 
10, 719, 138, 17.03817547, 0.04971887, 800, 0.00667111, 0.11420116, 1500, 
10, 719, 138, 16.91757617, 0.00525723, 80000, 0.00667111, 0.11420116, 1500, 
360000, 1199, 230, 16.34094982, 0.36497429, 72, 0.00400160, 0.04109049, 2500, 
360000, 2399, 462, 15.92531118, 0.34421578, 40, 0.00200040, 0.01026851, 5000, 
360000, 239, 46, 16.62551323, 0.39664816, 80, 0.02004008, 1.03055862, 500, 
360000, 239, 46, 16.93311694, 0.40965420, 88, 0.02004008, 1.03055862, 500, 
360000, 239, 46, 16.61111773, 0.39638336, 80, 0.02004008, 0.82444689, 500, 
360000, 239, 46, 16.35309892, 0.03661936, 8000, 0.02004008, 0.51527931, 500, 
10000000, 89, 9, 0.07684533, 0.00158350, 8000, 0.01010101, 0.00002551, 100, 
360000, 1199, 230, 16.40588034, 0.28187353, 120, 0.00400160, 0.02054524, 2500, 
36000000, 1199, 171, 26.02296657, 0.46414714, 72, 0.00400160, 0.04109049, 2500, 
36000000, 239, 34, 24.02421398, 0.68284859, 24, 0.02004008, 0.51471503, 500, 
36000000, 719, 103, 24.68384990, 0.40890315, 24, 0.00667111, 0.05703805, 1500, 
36000000, 719, 103, 20.56868007, 0.45307536, 120, 0.00667111, 0.63375612, 1500, 
36000000, 719, 103, 15.06028389, 0.01055146, 32, 0.00667111, 0.00063376, 1500, 
36000000, 719, 103, 15.98929916, 0.27426154, 104, 0.00667111, 0.06337561, 1500, 
360000, 718, 104, 29.81197369, 0.41707432, 800, 0.00667111, 0.06337561, 1500, 
3600, 718, 104, 15.01852230, 0.00171168, 32, 0.00667111, 0.06337561, 1500, 
36, 718, 104, 15.00198453, 0.00013074, 32, 0.00667111, 0.06337561, 1500, 
36000, 718, 104, 15.06744260, 0.00645904, 32, 0.00667111, 0.06337561, 1500, 
360000, 2399, 462, 34.45960644, 0.62402619, 800, 0.00200040, 0.02053702, 5000, 
36000, 2399, 343, 59.68569361, 1.45164544, 800, 0.00200040, 0.02053702, 5000, 
360000, 2399, 343, 88.65700454, 2.44327650, 800, 0.00200040, 0.02053702, 5000, 
3600000, 239, 34, 23.36773273, 0.14104477, 800, 0.02004008, 2.06111724, 500, 
3600000, 479, 68, 24.98173874, 0.18319505, 800, 0.01001001, 0.51424824, 1000, 
3600000, 719, 103, 23.26239724, 0.14507770, 800, 0.00667111, 0.22840233, 1500, 
36000, 718, 105, 15.07795758, 0.00049064, 8000, 0.00667111, 0.06337561, 1500, 
36000, 718, 105, 15.03247704, 0.00015006, 8000, 0.00667111, 0.22840233, 1500, 
3600000, 239, 35, 69.36793875, 1.64273231, 800, 0.02004008, 2.06111724, 500, 
100000000, 89, 9, 0.13062698, 0.00260852, 8000, 0.01010101, 0.00002551, 100, 
100000000, 89, 9, 0.13029318, 0.00261210, 8000, 0.01010101, 0.00002551, 100, 
100000000, 89, 89, 0.03928131, 0.00123910, 8000, 0.01010101, 0.00002551, 100, 
100000000, 89, 9, 0.13178960, 0.00267063, 8000, 0.01010101, 0.00002551, 100, 
100000000, 69, 9, 0.32868392, 0.00395927, 8000, 0.01010101, 0.00002551, 100, 
100000000, 9, 9, 0.57202146, 0.00437215, 8000, 0.01010101, 0.00002551, 100, 
1000000, 499, 499, 0.34886714, 0.00393313, 8000, 0.00100100, 0.00000025, 1000, 
1000000, 499, 499, 0.35666078, 0.00380209, 8000, 0.00100100, 0.00000025, 1000, 
1000000, 499, 499, 0.18348598, 0.00206415, 8000, 0.00100100, 0.00000025, 1000, 
1000000, 699, 99, 0.04137320, 0.00104759, 8000, 0.00100100, 0.00000025, 1000, 
1000000, 99, 99, 0.06258226, 0.00141219, 8000, 0.00100100, 0.00000025, 1000, 
1000000, 199, 799, 0.27889210, 0.00227885, 8000, 0.00100100, 0.00000025, 1000, 
1000000, 599, 399, 0.14038349, 0.00185167, 8000, 0.00100100, 0.00000025, 1000, 
1000000, 599, 399, 0.14066478, 0.00185455, 8000, 0.00100100, 0.00000025, 1000, 
1000000, 599, 399, 0.14162964, 0.00187107, 8000, 0.00100100, 0.00000025, 1000, 
